	PC1	PC2	cell_type	AC
SRR5756909	8.89053273870969	-1.79430658890005	E7.25	0
SRR5756910	5.23335893618835	13.0626963174332	E7.25	0
SRR5756911	3.3540794043697404	-5.55898449475127	E7.25	1
SRR5756912	5.01879452294434	1.65475269070955	E7.25	0
SRR5756913	10.5913391725164	2.55530209469599	E7.25	0
SRR5756914	-0.27292751175982	6.74243771419787	E7.25	0
SRR5756915	10.527941078234699	5.1685577652834604	E7.25	0
SRR5756916	7.02935755948179	11.743859817222097	E7.25	0
SRR5756917	4.30575062459167	7.86785788757455	E7.25	0
SRR5756918	2.96376588654207	11.524433118292901	E7.25	0
SRR5756919	2.7164605432881803	1.3740796737586298	E7.25	0
SRR5756920	6.2433646091019295	3.79908285240967	E7.25	0
SRR5756921	17.8811859349618	1.4971865412232	E7.25	0
SRR5756922	-3.00595476586215	10.230860328936599	E7.25	0
SRR5756923	7.8968513940086185	0.8522333673666089	E7.25	0
SRR5756924	5.89845653088884	-11.5236690171797	E7.25	1
SRR5756925	10.0658638726713	-0.867394781843847	E7.25	0
SRR5756926	9.076336440423107	-1.5119130509783798	E7.25	0
SRR5756927	11.3661154826561	2.98575584100483	E7.25	0
SRR5756928	15.081790267416899	5.68027917884776	E7.25	0
SRR5756929	6.417156843808769	-14.554368870717196	E7.25	1
SRR5756930	12.3242597145857	-3.48243221888571	E7.25	0
SRR5756931	9.237040621022132	2.99631648283492	E7.25	0
SRR5756932	15.5582902337954	4.8869901032997305	E7.25	0
SRR5756933	16.2480009387352	6.36251079886782	E7.25	0
SRR5756934	7.96118481055166	12.167737214786301	E7.25	0
SRR5756935	16.194808188988	10.220405245394401	E7.25	0
SRR5756936	7.854717762312959	15.0811734228003	E7.25	0
SRR5756937	11.0216355711826	-6.50224581945154	E7.25	0
