	PC1	PC2	line_1	line_2	pseudotime	cell_type	AC
SRR4047378	-4.94851126084073	-10.540219038622698	-7.19380664458027	11.8881209853991	46.953135560673	NPC	2
SRR4047391	-6.62221663659601	-10.177747730048198	-7.775694607236541	10.756972389140902	48.2253700286287	NPC	2
SRR4047385	-8.29897817581382	-11.0195028447544	-7.7757904426179	10.756781540910499	48.225583587677704	NPC	2
SRR4047394	-5.4907521229846905	-8.5149471193038	-8.21467533069708	9.88277860940666	49.203592314255	NPC	2
SRR4047254	-11.542244914789801	-11.3433650721814	-8.299039857297819	9.7147736368803	49.3915897720627	NPC	2
SRR4047291	-6.10808902120552	-3.91505952475657	-10.185882256177301	5.79307213835671	53.743591252040794	MN	0
SRR4047371	-11.6626679167965	-3.88408412978737	-11.1832504025401	3.6530509833341096	56.104615132335795	NPC	0
SRR4047393	-13.935464177101801	-3.48450840083856	-11.767857813176999	2.4399305461759	57.4512505765532	NPC	0
SRR4047333	-3.56853915725684	4.81756971574191	-12.964818081921	0.0561112501963401	60.1187041039527	MN	0
SRR4047342	-11.5637437629407	2.68082519518771	-13.781015696795599	-1.41547203774286	61.8014803576089	MN	0
SRR4047389	-15.497263363525699	0.5499742870515679	-13.8300608992665	-1.50141369781548	61.9004318650327	NPC	0
SRR4047292	-9.72021257512261	6.7789461032153095	-14.984984026158301	-3.4618318416603397	64.17575310119821	MN	0
SRR4047329	-13.3650602755745	5.28116175343216	-15.3314519779593	-4.00751739521834	64.822137479867	MN	0
SRR4047313	-14.974103918022498	4.991272962115099	-15.6674965623518	-4.52032530608521	65.43524262268281	MN	0
SRR4047326	-15.986313565097499	5.00333052824534	-15.9926345791085	-4.99903733771825	66.01393074176829	MN	0
SRR4047293	-17.0707859672119	6.18591686839615	-16.899010736257402	-6.309225578705491	67.60707573362221	MN	0
SRR4047307	-15.378266841319	7.518072313260619	-16.9545235472699	-6.38655771451893	67.7022699110491	MN	0
SRR4047328	-16.4673813680545	7.9405956789782906	-17.5169686903694	-7.16007781585546	68.65865784811639	MN	0
SRR4047324	-15.3624028312116	9.22327671877032	-17.7263479688092	-7.440115298392791	69.0083157864874	MN	0
SRR4047305	-18.842563793922	6.94515076363614	-17.8931803781493	-7.661285775920111	69.285352666588	MN	0
SRR4047306	-16.4058805588885	9.54151664295101	-18.248212040036602	-8.12678861088436	69.8707929883136	MN	0
SRR4047304	-18.1855967325832	8.934831509097881	-18.614183586954898	-8.60035219203402	70.4692891357908	MN	0
SRR4047327	-20.5527280239478	7.421584912440911	-18.7789287342682	-8.810855486402449	70.7365953282055	MN	0
SRR4047334	-20.0919174459877	7.871302854426331	-18.8255191689078	-8.87006484957359	70.8119373303493	MN	0
SRR4047312	-18.2258803501827	9.622503435783619	-18.9614333530699	-9.042399689595529	71.0314184515007	MN	0
SRR4047337	-20.0383196034303	8.66939965096946	-19.197930835546302	-9.34060066798728	71.41201651078559	MN	0
SRR4047320	-18.7974871440265	9.815974175048801	-19.273780032555102	-9.43556895856347	71.5335569439831	MN	0
SRR4047317	-19.9400791515286	9.64807537749081	-19.6391281473703	-9.89125751120113	72.11762141131871	MN	0
SRR4047289	-20.2977264474804	10.2782222344325	-20.0895335434526	-10.447776696116302	72.8335673757592	MN	0
SRR4047347	-21.572523945146	9.624658691569529	-20.2800323312797	-10.6813163102798	73.134948429489	MN	0
SRR4047303	-19.9373854253771	11.3040289507688	-20.4473054155291	-10.8857004866783	73.3990566956913	MN	0
SRR4047294	-22.4951607905808	9.28237178245634	-20.484911989859103	-10.931540886407499	73.4583491630053	MN	0
SRR4047319	-19.2953671508289	12.1359132236995	-20.5956238342159	-11.0663194252715	73.63276925077959	MN	0
SRR4047316	-19.508375121051397	11.985475753749302	-20.607782911444897	-11.0811006641438	73.6519089524925	MN	0
SRR4047330	-20.111268766616302	11.8186469306801	-20.768544722213303	-11.276424204816198	73.90488255851159	MN	0
SRR4047314	-19.953535478203897	12.0077007999955	-20.7974730314622	-11.311490758094699	73.9503414436149	MN	0
SRR4047308	-20.9444908062333	11.2257617927868	-20.814925910182897	-11.3326469306266	73.9777674643222	MN	0
SRR4047298	-20.862656023990397	11.4720794527354	-20.9027114512416	-11.438989382026598	74.11566241777871	MN	0
SRR4047349	-22.624326232011498	10.2153436702353	-21.0009993420192	-11.5579176932138	74.2699493345128	MN	0
SRR4047286	-21.509503412237603	11.2712105138714	-21.0669391924035	-11.6376073781479	74.37338293521209	MN	0
SRR4047325	-21.4551248333681	11.5019025817746	-21.1583213396562	-11.7479445688787	74.51664839683791	MN	0
SRR4047310	-21.0563941691977	12.0842739682582	-21.2819840272738	-11.897099360155599	74.710399815077	MN	0
