cell	PC1	PC2	line_1	line_2	pseudotime	cell_type	sex	AC
SRR2727274	-25.0966430261176	-0.21677966549507305	-25.024614113517398	-0.15511612788359602	25.298559582595	ES	female	0
SRR2727199	-25.6466011875347	-0.7697680127413051	-24.985101689682107	-0.201257770102172	25.3593072803617	ES	male	0
SRR2727247	-26.6905250163343	-2.09514837493003	-24.780310626069497	-0.4385378695571821	25.6727418434415	ES	female	0
SRR2727169	-21.959238859190997	1.86423569336532	-24.701797364865694	-0.528654133983945	25.7922628595812	ES	male	0
SRR2727480	-25.746014110586	-1.83370981532024	-24.5102037801592	-0.7479346895916529	26.083453628267893	Motor neuron	female	0
SRR2727390	-22.0011468305995	1.27993225979466	-24.415497231528	-0.855327804907471	26.226640958611302	Epi	female	0
SRR2727388	-22.927572494029107	0.43617691150640703	-24.403378183935104	-0.869030879253591	26.244934278733506	Epi	female	0
SRR2727399	-28.602466337588396	-5.012227483811111	-24.2034558778578	-1.09456693520207	26.546323464007397	Epi	female	0
SRR2727358	-21.6322091904928	1.11741786365719	-24.156095411406497	-1.14768180467775	26.617486678816103	Epi	female	0
SRR2727407	-28.1807035148108	-5.48927025766763	-23.821929311112104	-1.51837618258532	27.1165671376584	Epi	female	0
SRR2727180	-18.1464758670524	3.14095549270895	-23.5312673439224	-1.83706467707043	27.547898490202797	ES	male	1
SRR2727374	-36.2434628767644	-14.123882436003301	-23.2646346182297	-2.12548488827827	27.9406824367223	Epi	female	0
SRR2727402	-28.4746096200396	-7.2131320619941794	-23.1588158957481	-2.23869639510909	28.0956483920369	Epi	female	0
SRR2727381	-25.353463206679894	-4.52193475826676	-23.044307130296602	-2.36106303476947	28.263236732523303	Epi	female	0
SRR2727185	-22.6608474268354	-2.12118706877877	-22.9835222294633	-2.42578876900865	28.3520298901545	ES	male	0
SRR2727167	-25.281065877364	-4.82265972772066	-22.869704679798797	-2.54635951876439	28.517836223894506	ES	male	0
SRR2727350	-26.694593033473602	-6.2654214720918215	-22.826151497672	-2.59229419062266	28.581136095553894	Epi	female	0
SRR2727378	-30.161796771102	-9.607327430356039	-22.8013056859966	-2.6184611493231498	28.617219666406	Epi	female	0
SRR2727352	-27.7053675587475	-7.36466305225543	-22.7564949096865	-2.66565468634106	28.682298354236803	Epi	female	0
SRR2727346	-22.9628712387049	-3.6251017639858	-22.3797330423842	-3.05807128193039	29.226302296453294	Epi	female	0
SRR2727182	-23.5871753302191	-4.25556308802717	-22.368036606195503	-3.07009998041887	29.2430801451485	ES	male	0
SRR2727209	-15.3608216513552	3.7117387892338094	-22.3521330271752	-3.08645533463432	29.2658928924002	ES	female	1
SRR2727361	-25.5440151977447	-6.28657719918231	-22.303948258530607	-3.13600889474576	29.3350111045375	Epi	female	0
SRR2727198	-20.892499446813396	-2.30604769751975	-22.0276459870512	-3.41998041756925	29.7312216180266	ES	male	0
SRR2727162	-26.027642231619	-7.393097654290979	-22.0064515855971	-3.4415611224556804	29.7614694192095	ES	male	0
SRR2727165	-24.036780877156602	-5.53115943144747	-21.9663920285111	-3.4823130893529	29.8186138933073	ES	male	0
SRR2727222	-20.717629279625	-2.3648201413151	-21.9072570844211	-3.5420698052635498	29.9026841419625	ES	female	0
SRR2727382	-23.3818365646767	-5.23460098080149	-21.7906160781212	-3.65993722839661	30.0685089102774	Epi	female	0
SRR2727408	-29.9996091411208	-12.2787130073929	-21.583702688307906	-3.8682642002346896	30.3621298871834	Epi	female	0
SRR2727193	-20.8573957841208	-3.78887675579082	-21.2572470739656	-4.19268626448098	30.8223721537186	ES	male	0
SRR2727205	-28.7414611517656	-12.5669092397584	-20.8915761346219	-4.55130238797397	31.3345447417294	ES	male	0
SRR2727396	-23.6699010167752	-7.558839831697768	-20.8265444513515	-4.61445130174097	31.4251918880658	Epi	female	0
SRR2727366	-23.114551736021294	-7.070135051327862	-20.783382001005197	-4.65613270191058	31.485194690000306	Epi	female	0
SRR2727376	-18.7092675283802	-4.4975258496628205	-19.762793915810896	-5.62287472759163	32.8909650068937	Epi	female	1
SRR2727349	-26.3530891464257	-12.696416136536698	-19.7458491522582	-5.63873803530154	32.914176416660396	Epi	female	1
SRR2727404	-22.081020809598694	-9.734788450064581	-18.9975105769289	-6.330853741802371	33.933506968793004	Epi	female	1
SRR2727252	-24.430997902589503	-12.377583361408501	-18.9733194956515	-6.3527676305962	33.9661478470814	ES	female	1
SRR2727183	-18.621651718007694	-6.62450029064116	-18.644953439778398	-6.65022342223885	34.4092101616957	ES	male	1
SRR2727181	-18.5857835958399	-6.60677673196924	-18.6340707581314	-6.660081678372849	34.4238940976066	ES	male	1
SRR2727230	-16.8213197008165	-4.75361426879263	-18.586972831833695	-6.70274610942788	34.487443042041505	ES	female	1
SRR2727474	-14.7575633634816	-2.64480323507482	-18.5026843073064	-6.779100255482991	34.601173033630296	Motor neuron	female	1
SRR2727375	-28.239525527094397	-17.682013052036602	-18.4661694418293	-6.8121778468568	34.650442318706304	Epi	female	1
SRR2727211	-17.3802535656529	-5.9118543583789895	-18.3063475232137	-6.9542960588016784	34.8643129147133	ES	female	1
SRR2727188	-19.7857242711539	-8.65139674492221	-18.290525575896694	-6.968352106061809	34.885476715919104	ES	male	1
SRR2727397	-20.1526093737578	-9.34285132244333	-18.152256634662105	-7.09118874138041	35.0704284368804	Epi	female	1
SRR2727197	-17.03102009827	-6.12181383825562	-18.001810632214998	-7.224302105171889	35.2713094147559	ES	male	1
SRR2727401	-27.1765408500997	-17.6810535751685	-17.9832735228342	-7.2406248642013	35.29600874443361	Epi	female	1
SRR2727373	-21.787451981121894	-11.5996923763737	-17.9640229677431	-7.25757584428554	35.3216586878474	Epi	female	1
SRR2727176	-19.0750025277959	-8.59105103382107	-17.929651620752498	-7.28783520759369	35.3674519030846	ES	male	1
SRR2727271	-19.3785415779051	-9.203706531883169	-17.799817754940698	-7.40166275193385	35.5401178886236	ES	female	1
SRR2727343	-20.767699857217103	-11.110475257768499	-17.6499727302228	-7.5326301718391	35.739130442271204	Epi	female	1
SRR2727265	-17.110000634658803	-7.031458647873008	-17.5912845041872	-7.583770975857072	35.816974451101714	ES	female	1
SRR2727357	-12.5274302133194	-1.97326454583092	-17.4787775085336	-7.6814908498852885	35.9659945767596	Epi	female	1
SRR2727166	-18.461313480039	-9.265018390292859	-17.2599061538008	-7.87077224580667	36.255359600154904	ES	male	1
SRR2727359	-6.45392692899493	4.5681307435224285	-17.2096874343185	-7.91404519136145	36.3216503808369	Epi	female	1
SRR2727392	-21.4177570305292	-13.367970547697	-16.9529373763642	-8.13427577819687	36.6599137451514	Epi	female	1
SRR2727412	-3.5909286105657703	6.9381857827226	-16.6241046232422	-8.413945228824119	37.0915918441326	Epi	female	1
SRR2727369	-26.2755082238368	-19.988860862994894	-16.5445625174156	-8.48129860289341	37.1958195928267	Epi	female	1
SRR2727395	-12.634769024319	-3.9024784832958495	-16.5125679661949	-8.50826175481189	37.2376605162055	Epi	female	1
SRR2727371	-26.2435786600194	-20.2997893567503	-16.3974255589518	-8.60520489751988	37.388178777103796	Epi	female	1
SRR2727170	-17.611118938407	-11.3558957272174	-15.7688487022005	-9.13029229921242	38.2072182415129	ES	male	1
SRR2727385	-19.168382461495106	-13.240871111988099	-15.7670401714546	-9.131789332476561	38.209565983417896	Epi	female	1
SRR2727189	-16.489674308044698	-10.082448452125599	-15.728892854804098	-9.16336623659709	38.259086874378	ES	male	1
SRR2727175	-10.1369084199008	-2.434117113760009	-15.7159763056686	-9.174058066833961	38.27585447633479	ES	male	1
SRR2727483	0.22157506446663894	9.3126566923279	-15.2479830721069	-9.558070281926	38.881232910043394	Motor neuron	female	1
SRR2727229	-13.338367649925699	-8.472843198429072	-14.624307748428599	-10.065295358693	39.6851285424899	ES	female	1
SRR2727212	-12.482014128993699	-7.52808041642258	-14.5677510689046	-10.110966119707301	39.7578229467477	ES	female	1
SRR2727364	-17.5372367929373	-14.1345570712167	-14.4049734675286	-10.2424126083182	39.9670470535754	Epi	female	1
SRR2727377	-11.175353377327301	-6.37264600849573	-14.317083946375101	-10.312497781870402	40.0794592392158	Epi	female	1
SRR2727187	-12.8074436424049	-8.4760234194707	-14.2894582721291	-10.3345271449687	40.1147929443153	ES	male	1
SRR2727213	-8.691171248941059	-4.54776943533287	-13.657737860892	-10.8378318320475	40.9224972751252	ES	female	1
SRR2727414	-11.183316203122098	-7.854426678106378	-13.584587188284099	-10.8955908279528	41.015702009505894	Epi	female	1
SRR2727220	-7.782432246947549	-3.8090256717699504	-13.447910080812399	-11.0034287687855	41.1897986872166	ES	female	1
