exon	frequency	size	mean_expression	read_counts	psi_mean	psi_binary
Nqo2_4	0.1666374954447087	0.32885329691507864	0.4094954515928496	0.48615593825559766	0.2901378077848666	1.3694872428035092
Nrf1_5	0.22150243761617844	0.8147380636815433	1.2676621498349239	0.7067254690327811	0.00040848478702232294	0.2623642644674909
Nt5c3_2	0.14178810279295437	0.3175409660268698	0.779970492674619	0.32016500610424226	0.2290071584189231	1.0726368022648491
Nuf2_1	0.1765558083897975	0.864650842117942	0.8273162298707365	0.5921667507258532	0.2101715131201497	0.958850346292951
Numb_1	0.14915861984551698	0.3915872677619223	0.6103067915020555	0.19272312434213798	0.18972222222222224	2.1972245773362196
Numb_3	0.14915861984551698	0.3915872677619223	0.6103067915020555	0.2951211360534609	0.2602020202020202	1.6314168191528753
Numb_4	0.14915861984551698	0.3915872677619223	0.6103067915020555	0.2513422114748737	0.12777777777777777	1.3862943611198908
Ociad1_1	0.23312857921115107	1.3814038146934855	1.468816996446881	1.0157523448431345	0.2759868668483981	-0.9765095918672098
Ocrl_2	0.167383106178081	1.3827450731670878	0.6212655423803399	0.28711548112894786	0.253623188405797	2.104134154270207
Odf2_2	0.2591839090106686	0.7510021433394843	1.204970769540677	0.5468537786092094	0.2060406379707771	0.5039051809214169
Opa1_1	0.32988282630503857	0.4427841323272803	0.6520067595724698	0.4361196497156476	0.1588270177311275	1.4384801142904609
Opa1_2	0.32988282630503857	0.4427841323272803	0.6520067595724698	0.3164048572309355	0.25084745762711863	0.9886113934537809
Os9_1	0.1362900789888575	0.6998173289703519	0.22131460564899139	0.15879700386926732	0.10215053763440862	3.4011973816621563
Osbpl1a_7	0.23185938971819522	0.4019813090051588	0.9725284073293773	0.5133855917465082	0.29785354768266603	1.3382851419335302
Pacsin3_3	0.13291021143518794	0.37605974932027786	0.39315813614660594	0.12199435596151867	0.09365079365079365	2.2512917986064953
Pacsin3_4	0.13291021143518794	0.37605974932027786	0.39315813614660594	0.12199435596151867	0.11499999999999999	2.1972245773362196
Patz1_3	0.22138055980349639	0.7874513616310134	1.1177129796809981	0.6322839739338357	0.19686843601909643	0.24613306953890837
